"datenumber"	"yyyymmdd"
531	20040715
532	20040716
533	20040719
534	20040720
535	20040721
536	20040722
537	20040723
538	20040726
539	20040727
540	20040728
541	20040729
542	20040730
543	20040802
544	20040803
545	20040804
546	20040805
547	20040806
548	20040809
549	20040810
550	20040811
551	20040812
552	20040813
553	20040816
554	20040817
555	20040818
556	20040819
557	20040820
558	20040823
559	20040824
560	20040825
561	20040826
562	20040827
563	20040830
564	20040831
565	20040901
566	20040902
567	20040903
568	20040907
569	20040908
570	20040909
571	20040910
572	20040913
573	20040914
574	20040915
575	20040916
576	20040917
577	20040920
578	20040921
579	20040922
580	20040923
581	20040924
582	20040927
583	20040928
584	20040929
585	20040930
586	20041001
587	20041004
588	20041005
589	20041006
590	20041007
591	20041008
592	20041012
593	20041013
594	20041014
595	20041015
596	20041018
597	20041019
598	20041020
599	20041021
600	20041022
601	20041025
602	20041026
603	20041027
604	20041028
605	20041029
606	20041101
607	20041102
608	20041103
609	20041104
610	20041105
611	20041108
612	20041109
613	20041110
614	20041112
615	20041115
616	20041116
617	20041117
618	20041118
619	20041119
620	20041122
621	20041123
622	20041124
623	20041126
624	20041129
625	20041130
626	20041201
627	20041202
628	20041203
629	20041206
630	20041207
631	20041208
632	20041209
633	20041210
634	20041213
635	20041214
636	20041215
637	20041216
638	20041217
639	20041220
640	20041221
641	20041222
642	20041223
643	20041227
644	20041228
645	20041229
646	20041230
647	20041231
648	20050103
649	20050104
650	20050105
651	20050106
652	20050107
653	20050110
654	20050111
655	20050112
656	20050113
657	20050114
658	20050118
659	20050119
660	20050120
661	20050121
662	20050124
663	20050125
664	20050126
665	20050127
666	20050128
667	20050131
668	20050201
669	20050202
670	20050203
671	20050204
672	20050207
673	20050208
674	20050209
675	20050210
676	20050211
677	20050214
678	20050215
679	20050216
680	20050217
681	20050218
682	20050222
683	20050223
684	20050224
685	20050225
686	20050228
687	20050301
688	20050302
689	20050303
690	20050304
691	20050307
692	20050308
693	20050309
694	20050310
695	20050311
696	20050314
697	20050315
698	20050316
699	20050317
700	20050318
701	20050321
702	20050322
703	20050323
704	20050324
705	20050328
706	20050329
707	20050330
708	20050331
709	20050401
710	20050404
711	20050405
712	20050406
713	20050407
714	20050408
715	20050411
716	20050412
717	20050413
718	20050414
719	20050415
720	20050418
721	20050419
722	20050420
723	20050421
724	20050422
725	20050425
726	20050426
727	20050427
728	20050428
729	20050429
730	20050502
731	20050503
732	20050504
733	20050505
734	20050506
735	20050509
736	20050510
737	20050511
738	20050512
739	20050513
740	20050516
741	20050517
742	20050518
743	20050519
744	20050520
745	20050523
746	20050524
747	20050525
748	20050526
749	20050527
750	20050531
751	20050601
752	20050602
753	20050603
754	20050606
755	20050607
756	20050608
757	20050609
758	20050610
759	20050613
760	20050614
761	20050615
762	20050616
763	20050617
764	20050620
765	20050621
766	20050622
767	20050623
768	20050624
769	20050627
770	20050628
771	20050629
772	20050630
773	20050701
774	20050705
775	20050706
776	20050707
777	20050708
778	20050711
779	20050712
780	20050713
781	20050714
782	20050715
783	20050718
784	20050719
785	20050720
786	20050721
787	20050722
788	20050725
789	20050726
790	20050727
791	20050728
792	20050729
793	20050801
794	20050802
795	20050803
796	20050804
797	20050805
798	20050808
799	20050809
800	20050810
801	20050811
802	20050812
803	20050815
804	20050816
805	20050817
806	20050818
807	20050819
808	20050822
809	20050823
810	20050824
811	20050825
812	20050826
813	20050829
814	20050830
815	20050831
816	20050901
817	20050902
818	20050906
819	20050907
820	20050908
821	20050909
822	20050912
823	20050913
824	20050914
