"","dt","SIC_CODE","investment_Barc","percent_investment_Barc","investment_BofA","percent_investment_BofA","junk_Barc","percent_junk_Barc","junk_BofA","percent_junk_BofA","distressed_Barc","percent_distressed_Barc","distressed_BofA","percent_distressed_BofA"
"51",2002-12-31,3577,1350000,0.553165334972342,1350000,0.553165334972342,0,NA,0,NA,0,0,0,0
"52",2002-12-31,4412,270000,0.110633066994468,270000,0.110633066994468,0,NA,0,NA,0,0,0,0
"53",2002-12-31,4941,0,0,0,0,0,NA,0,NA,200600,0.0543543055329757,200600,0.104993195854705
"54",2002-12-31,6021,0,0,0,0,0,NA,0,NA,3490000,0.945645694467024,1710000,0.895006804145295
"55",2002-12-31,6712,20500,0.00839991804958,20500,0.00839991804958,0,NA,0,NA,0,0,0,0
"56",2002-12-31,8071,550000,0.225363654988732,550000,0.225363654988732,0,NA,0,NA,0,0,0,0
"57",2003-01-31,2000,0,0,0,0,113400,0.158957106812447,113400,0.158957106812447,0,0,0,0
"58",2003-01-31,2819,5e+05,0.272776868521549,5e+05,0.240038406144983,0,0,0,0,0,0,0,0
"59",2003-01-31,3492,258000,0.140752864157119,508000,0.243879020643303,0,0,0,0,0,0,0,0
"60",2003-01-31,3829,0,0,0,0,6e+05,0.841042893187553,6e+05,0.841042893187553,0,0,0,0
"61",2003-01-31,4911,0,0,0,0,0,0,0,0,26268531,1,14464699,1
"62",2003-01-31,5500,75000,0.0409165302782324,75000,0.0360057609217475,0,0,0,0,0,0,0,0
"63",2003-01-31,6324,4e+05,0.218221494817239,4e+05,0.192030724915987,0,0,0,0,0,0,0,0
"64",2003-01-31,7900,6e+05,0.327332242225859,6e+05,0.28804608737398,0,0,0,0,0,0,0,0
"65",2003-02-28,181,0,0,0,0,2e+05,1,2e+05,1,0,0,0,0
"66",2003-02-28,2819,0,0,0,0,0,0,0,0,9e+05,0.48,9e+05,0.48
"67",2003-02-28,3491,0,0,0,0,0,0,0,0,75000,0.04,75000,0.04
"68",2003-02-28,3829,115000,0.0314573191197312,115000,0.0347984278372898,0,0,0,0,0,0,0,0
"69",2003-02-28,4911,2489747,0.681050138316464,2464747,0.745820179275448,0,0,0,0,0,0,0,0
"70",2003-02-28,5531,451000,0.123367399330424,125000,0.0378243780840107,0,0,0,0,0,0,0,0
"71",2003-02-28,6330,0,0,0,0,0,0,0,0,9e+05,0.48,9e+05,0.48
"72",2003-02-28,7900,6e+05,0.16412514323338,6e+05,0.181557014803251,0,0,0,0,0,0,0,0
"73",2003-03-31,2092,175000,0.068359375,175000,0.0782173593372531,0,0,0,0,0,0,0,0
"74",2003-03-31,2869,0,0,0,0,0,0,0,0,850000,0.153153153153153,850000,0.153153153153153
"75",2003-03-31,3570,0,0,0,0,0,0,0,0,4700000,0.846846846846847,4700000,0.846846846846847
"76",2003-03-31,4220,135000,0.052734375,135000,0.0603391057744524,0,0,0,0,0,0,0,0
"77",2003-03-31,4931,1850000,0.72265625,1527355,0.682660999260287,0,0,0,0,0,0,0,0
